order_id,shipping_mode,shipping_date_dateorders,days_for_shipping_real,days_for_shipment_scheduled,delivery_status,late_delivery_risk
75912,Standard Class,2018-01-16 03:00:00,3,4,Advance shipping,0
75911,Standard Class,2018-01-15 02:39:00,2,4,Advance shipping,0
75910,Standard Class,2018-01-19 02:18:00,6,4,Late delivery,1
75909,Standard Class,2018-01-18 01:57:00,5,4,Late delivery,1
75908,Standard Class,2018-01-17 01:36:00,4,4,Shipping on time,0
75907,First Class,2018-01-15 01:15:00,2,1,Late delivery,1
75906,First Class,2018-01-15 00:54:00,2,1,Late delivery,1
75905,First Class,2018-01-15 00:33:00,2,1,Late delivery,1
75904,First Class,2018-01-15 00:12:00,2,1,Late delivery,1
75903,First Class,2018-01-14 23:51:00,2,1,Late delivery,1
75902,Same Day,2018-01-13 11:30:00,1,0,Late delivery,1
75901,Same Day,2018-01-13 11:09:00,1,0,Shipping canceled,0
75900,Same Day,2018-01-13 10:48:00,1,0,Late delivery,1
75899,Same Day,2018-01-13 10:27:00,1,0,Late delivery,1
75898,Standard Class,2018-01-16 22:05:00,4,4,Shipping on time,0
75897,Standard Class,2018-01-15 21:44:00,3,4,Advance shipping,0
75896,Standard Class,2018-01-14 21:23:00,2,4,Advance shipping,0
75895,Standard Class,2018-01-18 21:02:00,6,4,Late delivery,1
75894,Second Class,2018-01-17 20:41:00,5,2,Late delivery,1
75893,Standard Class,2018-01-16 20:20:00,4,4,Shipping on time,0
28744,Second Class,2016-02-29 13:57:00,5,2,Late delivery,1
45461,Second Class,2016-10-27 14:39:00,2,2,Shipping on time,0
31115,Second Class,2016-04-05 04:37:00,6,2,Late delivery,1
45766,Second Class,2016-11-01 01:31:00,2,2,Shipping on time,0
47752,Second Class,2016-12-01 01:18:00,3,2,Late delivery,1
50054,Second Class,2017-01-05 15:47:00,5,2,Late delivery,1
20365,Second Class,2015-10-31 06:24:00,6,2,Late delivery,1
36146,Second Class,2016-06-13 15:12:00,2,2,Shipping on time,0
41234,Second Class,2016-08-29 21:45:00,5,2,Late delivery,1
32090,Second Class,2016-04-19 10:12:00,6,2,Late delivery,1
34773,Second Class,2016-05-26 14:10:00,4,2,Late delivery,1
44046,Second Class,2016-10-06 22:55:00,2,2,Shipping on time,0
46414,Second Class,2016-11-13 12:32:00,5,2,Late delivery,1
46599,Second Class,2016-11-16 05:21:00,5,2,Late delivery,1
48434,Second Class,2016-12-13 00:14:00,5,2,Late delivery,1
12827,Second Class,2015-07-10 05:31:00,3,2,Late delivery,1
63936,Second Class,2017-07-24 07:16:00,2,2,Shipping on time,0
65030,Second Class,2017-08-13 06:33:00,6,2,Late delivery,1
18108,Second Class,2015-09-26 07:41:00,4,2,Late delivery,1
62571,Second Class,2017-07-04 09:03:00,2,2,Shipping on time,0
17162,Second Class,2015-09-11 12:15:00,3,2,Late delivery,1
65922,Second Class,2017-08-23 07:03:00,3,2,Late delivery,1
64813,Second Class,2017-08-08 02:31:00,4,2,Late delivery,1
67892,Second Class,2017-09-21 01:14:00,3,2,Late delivery,1
12525,Second Class,2015-07-08 19:42:00,6,2,Late delivery,1
5895,Second Class,2015-04-03 00:55:00,6,2,Late delivery,1
56359,Second Class,2017-04-07 16:43:00,5,2,Late delivery,1
58613,Second Class,2017-05-09 14:23:00,4,2,Late delivery,1
7824,Second Class,2015-04-30 04:44:00,5,2,Late delivery,1
7814,Second Class,2015-04-30 01:14:00,5,2,Late delivery,1
60807,Second Class,2017-06-09 15:03:00,3,2,Late delivery,1
53413,Second Class,2017-02-22 16:36:00,4,2,Late delivery,1
7888,Second Class,2015-04-30 03:10:00,4,2,Late delivery,1
6783,Second Class,2015-04-14 00:02:00,4,2,Late delivery,1
56973,Second Class,2017-04-15 15:49:00,4,2,Late delivery,1
55155,Second Class,2017-03-22 02:54:00,6,2,Late delivery,1
5991,Second Class,2015-03-31 10:33:00,2,2,Shipping on time,0
2263,Second Class,2015-02-07 00:28:00,4,2,Late delivery,1
53403,Second Class,2017-02-22 13:05:00,4,2,Late delivery,1
51298,Second Class,2017-01-22 19:37:00,4,2,Late delivery,1
4919,Standard Class,2015-03-18 18:59:00,5,4,Late delivery,1
52640,Standard Class,2017-02-13 09:47:00,6,4,Late delivery,1
6358,Standard Class,2015-04-07 19:08:00,4,4,Shipping on time,0
57106,Standard Class,2017-04-15 14:25:00,2,4,Advance shipping,0
6245,Standard Class,2015-04-08 03:33:00,6,4,Late delivery,1
52166,Standard Class,2017-02-02 11:43:00,2,4,Advance shipping,0
56172,Standard Class,2017-04-02 23:12:00,3,4,Advance shipping,0
55829,Standard Class,2017-03-30 23:02:00,5,4,Late delivery,1
52478,Standard Class,2017-02-09 01:01:00,4,4,Shipping on time,0
57242,Standard Class,2017-04-18 14:04:00,3,4,Advance shipping,0
3137,Standard Class,2015-02-18 18:40:00,3,4,Advance shipping,0
60127,Standard Class,2017-05-30 16:48:00,3,4,Advance shipping,0
3828,Standard Class,2015-03-01 20:46:00,4,4,Shipping on time,0
60386,Standard Class,2017-06-02 11:33:00,2,4,Advance shipping,0
973,Standard Class,2015-01-19 04:32:00,4,4,Shipping on time,0
57999,Standard Class,2017-05-01 15:16:00,5,4,Late delivery,1
54585,Standard Class,2017-03-13 19:12:00,6,4,Late delivery,1
57598,Standard Class,2017-04-24 18:47:00,4,4,Shipping on time,0
54274,Standard Class,2017-03-08 06:14:00,5,4,Late delivery,1
60673,Standard Class,2017-06-08 16:06:00,4,4,Shipping on time,0
59387,Standard Class,2017-05-19 21:33:00,3,4,Advance shipping,0
10007,Standard Class,2015-05-30 01:32:00,3,4,Advance shipping,0
55984,Standard Class,2017-04-02 05:20:00,5,4,Late delivery,1
58375,Standard Class,2017-05-08 03:00:00,6,4,Late delivery,1
56448,Standard Class,2017-04-07 23:53:00,4,4,Shipping on time,0
8221,Standard Class,2015-05-02 23:49:00,2,4,Advance shipping,0
58034,Standard Class,2017-05-02 03:32:00,5,4,Late delivery,1
2203,Standard Class,2015-02-06 03:27:00,4,4,Shipping on time,0
53069,Standard Class,2017-02-18 16:05:00,5,4,Late delivery,1
60146,Standard Class,2017-05-29 23:28:00,2,4,Advance shipping,0
55409,Standard Class,2017-03-24 19:53:00,5,4,Late delivery,1
8678,Standard Class,2015-05-11 15:56:00,4,4,Shipping on time,0
7980,Standard Class,2015-05-03 11:23:00,6,4,Late delivery,1
57185,Standard Class,2017-04-20 18:06:00,6,4,Late delivery,1
8636,Standard Class,2015-05-09 01:13:00,2,4,Advance shipping,0
61192,Standard Class,2017-06-15 05:55:00,3,4,Advance shipping,0
55876,Standard Class,2017-03-28 15:30:00,2,4,Advance shipping,0
53331,Standard Class,2017-02-19 11:52:00,2,4,Advance shipping,0
51725,Standard Class,2017-01-31 01:13:00,6,4,Late delivery,1
52562,Standard Class,2017-02-09 06:27:00,3,4,Advance shipping,0
59754,Standard Class,2017-05-27 06:08:00,5,4,Late delivery,1
53574,Standard Class,2017-02-26 01:00:00,5,4,Late delivery,1
399,Standard Class,2015-01-11 19:26:00,5,4,Late delivery,1
51050,Second Class,2017-01-21 04:44:00,6,2,Late delivery,1
45680,Second Class,2016-11-03 19:23:00,6,2,Late delivery,1
42992,Second Class,2016-09-22 13:39:00,3,2,Late delivery,1
41304,Second Class,2016-08-30 22:16:00,5,2,Late delivery,1
44253,Second Class,2016-10-11 23:26:00,4,2,Late delivery,1
46098,Second Class,2016-11-07 21:49:00,4,2,Late delivery,1
71077,Second Class,2017-11-06 13:05:00,3,2,Late delivery,1
69703,Second Class,2017-10-18 11:42:00,4,2,Late delivery,1
71112,Second Class,2017-11-07 01:21:00,3,2,Late delivery,1
69810,Second Class,2017-10-22 01:12:00,6,2,Late delivery,1
71092,Second Class,2017-11-06 18:20:00,3,2,Late delivery,1
69610,Second Class,2017-10-19 03:08:00,6,2,Late delivery,1
71000,Second Class,2017-11-08 10:06:00,6,2,Late delivery,1
70734,Second Class,2017-11-03 12:55:00,5,2,Late delivery,1
69626,Second Class,2017-10-15 08:44:00,2,2,Shipping on time,0
69482,Second Class,2017-10-14 06:17:00,3,2,Late delivery,1
70769,Second Class,2017-11-04 01:10:00,5,2,Late delivery,1
69643,Second Class,2017-10-17 14:41:00,4,2,Late delivery,1
71051,Second Class,2017-11-05 03:58:00,2,2,Shipping on time,0
69408,Second Class,2017-10-14 04:21:00,4,2,Late delivery,1
71123,Second Class,2017-11-08 05:12:00,4,2,Late delivery,1
70534,Second Class,2017-10-31 14:51:00,5,2,Late delivery,1
69641,Second Class,2017-10-15 13:59:00,2,2,Shipping on time,0
70960,Second Class,2017-11-07 20:05:00,6,2,Late delivery,1
69908,Second Class,2017-10-21 11:32:00,4,2,Late delivery,1
70957,Second Class,2017-11-04 19:02:00,3,2,Late delivery,1
69637,Second Class,2017-10-16 12:35:00,3,2,Late delivery,1
70955,Second Class,2017-11-07 18:20:00,6,2,Late delivery,1
70919,Second Class,2017-11-06 05:44:00,5,2,Late delivery,1
71009,Second Class,2017-11-07 13:15:00,5,2,Late delivery,1
69653,Second Class,2017-10-17 18:11:00,4,2,Late delivery,1
69527,Second Class,2017-10-14 22:03:00,3,2,Late delivery,1
71080,Second Class,2017-11-09 14:08:00,6,2,Late delivery,1
70544,Second Class,2017-10-31 18:21:00,5,2,Late delivery,1
69471,Second Class,2017-10-13 02:26:00,2,2,Shipping on time,0
68879,Second Class,2017-10-07 11:01:00,5,2,Late delivery,1
67214,Second Class,2017-09-13 03:42:00,5,2,Late delivery,1
17810,Second Class,2015-09-23 23:17:00,6,2,Late delivery,1
18793,Second Class,2015-10-06 07:40:00,4,2,Late delivery,1
65109,Second Class,2017-08-13 10:13:00,5,2,Late delivery,1
15673,Second Class,2015-08-21 18:35:00,4,2,Late delivery,1
18183,Second Class,2015-09-27 09:57:00,4,2,Late delivery,1
20234,Second Class,2015-10-28 08:31:00,5,2,Late delivery,1
13139,Second Class,2015-07-16 18:49:00,5,2,Late delivery,1
33824,Standard Class,2016-05-13 17:42:00,5,4,Shipping canceled,0
31364,Standard Class,2016-04-07 19:51:00,5,4,Shipping canceled,0
40495,Standard Class,2016-08-20 02:51:00,6,4,Shipping canceled,0
34506,Standard Class,2016-05-20 16:38:00,2,4,Shipping canceled,0
33607,Standard Class,2016-05-08 13:40:00,3,4,Shipping canceled,0
32617,Standard Class,2016-04-24 02:50:00,3,4,Shipping canceled,0
37496,Standard Class,2016-07-03 08:10:00,2,4,Shipping canceled,0
49075,Standard Class,2016-12-23 08:48:00,6,4,Shipping canceled,0
41623,Standard Class,2016-09-03 14:02:00,4,4,Shipping canceled,0
39271,Standard Class,2016-07-29 06:01:00,2,4,Shipping canceled,0
38598,Standard Class,2016-07-21 10:14:00,4,4,Shipping canceled,0
37845,Standard Class,2016-07-12 10:26:00,6,4,Shipping canceled,0
42331,Standard Class,2016-09-11 22:05:00,2,4,Shipping canceled,0
41345,Standard Class,2016-09-01 12:38:00,6,4,Shipping canceled,0
51168,Standard Class,2017-01-20 22:04:00,4,4,Shipping canceled,0
43599,Standard Class,2016-10-03 10:19:00,5,4,Shipping canceled,0
41901,Standard Class,2016-09-05 15:26:00,2,4,Shipping canceled,0
42751,Standard Class,2016-09-18 01:13:00,2,4,Advance shipping,0
45088,Standard Class,2016-10-24 03:59:00,4,4,Shipping on time,0
50489,Standard Class,2017-01-12 00:11:00,5,4,Late delivery,1
44409,Standard Class,2016-10-15 06:06:00,5,4,Late delivery,1
42101,Standard Class,2016-09-08 13:30:00,2,4,Advance shipping,0
50424,Standard Class,2017-01-11 01:25:00,5,4,Late delivery,1
49825,Standard Class,2017-01-03 07:33:00,6,4,Late delivery,1
41294,Standard Class,2016-08-30 18:46:00,5,4,Late delivery,1
42023,Standard Class,2016-09-09 10:10:00,4,4,Shipping on time,0
47774,Standard Class,2016-12-03 09:00:00,5,4,Late delivery,1
41827,Standard Class,2016-09-05 13:30:00,3,4,Advance shipping,0
47193,Standard Class,2016-11-23 21:27:00,4,4,Shipping on time,0
42626,Standard Class,2016-09-16 05:26:00,2,4,Advance shipping,0
46199,Standard Class,2016-11-10 09:13:00,5,4,Late delivery,1
48468,Standard Class,2016-12-12 12:08:00,4,4,Shipping on time,0
51009,Standard Class,2017-01-19 14:22:00,5,4,Late delivery,1
46229,Standard Class,2016-11-10 19:43:00,5,4,Late delivery,1
42882,Standard Class,2016-09-20 23:07:00,3,4,Advance shipping,0
46827,Standard Class,2016-11-17 13:14:00,3,4,Advance shipping,0
48684,Standard Class,2016-12-16 15:49:00,5,4,Late delivery,1
46416,Standard Class,2016-11-10 13:14:00,2,4,Advance shipping,0
47343,Standard Class,2016-11-26 02:00:00,4,4,Shipping on time,0
41686,Standard Class,2016-09-02 12:06:00,2,4,Advance shipping,0
41896,Standard Class,2016-09-05 13:41:00,2,4,Advance shipping,0
28168,Standard Class,2016-02-20 04:09:00,4,4,Shipping on time,0
24992,Standard Class,2016-01-03 19:27:00,3,4,Advance shipping,0
30851,Standard Class,2016-03-28 08:07:00,2,4,Advance shipping,0
25074,Standard Class,2016-01-07 00:11:00,5,4,Late delivery,1
76870,Standard Class,2018-02-02 02:38:00,6,4,Late delivery,1
25163,Standard Class,2016-01-07 07:22:00,4,4,Shipping on time,0
28036,Standard Class,2016-02-16 05:54:00,2,4,Advance shipping,0
22679,Standard Class,2015-12-03 01:06:00,5,4,Late delivery,1
23610,Standard Class,2015-12-17 15:17:00,6,4,Late delivery,1
42828,Standard Class,2016-09-21 04:12:00,4,4,Shipping on time,0
48713,Standard Class,2016-12-16 01:59:00,4,4,Shipping on time,0
45668,Standard Class,2016-11-01 15:11:00,4,4,Shipping on time,0
74796,Standard Class,2017-12-29 20:01:00,2,4,Advance shipping,0
27918,Standard Class,2016-02-16 12:34:00,4,4,Shipping on time,0
30097,Standard Class,2016-03-18 07:58:00,3,4,Advance shipping,0
30966,Standard Class,2016-03-30 00:25:00,2,4,Advance shipping,0
30063,Standard Class,2016-03-18 20:03:00,4,4,Shipping on time,0
22019,Standard Class,2015-11-23 09:53:00,5,4,Late delivery,1
24230,Standard Class,2015-12-26 16:29:00,6,4,Late delivery,1
42353,Standard Class,2016-09-14 05:47:00,4,4,Shipping on time,0
42134,Standard Class,2016-09-12 01:04:00,5,4,Late delivery,1
21522,Standard Class,2015-11-14 03:45:00,3,4,Advance shipping,0
23767,Standard Class,2015-12-16 22:17:00,3,4,Advance shipping,0
25433,Standard Class,2016-01-11 05:57:00,4,4,Shipping on time,0
73893,Standard Class,2017-12-18 15:39:00,4,4,Shipping on time,0
30085,Standard Class,2016-03-21 03:45:00,6,4,Late delivery,1
30172,Standard Class,2016-03-19 10:14:00,3,4,Advance shipping,0
27478,Standard Class,2016-02-10 02:25:00,4,4,Shipping on time,0
76976,Standard Class,2018-01-30 15:46:00,2,4,Advance shipping,0
24063,Standard Class,2015-12-22 05:59:00,4,4,Shipping on time,0
51209,Standard Class,2017-01-22 12:26:00,5,4,Late delivery,1
73839,Standard Class,2017-12-18 20:44:00,5,4,Late delivery,1
74723,Standard Class,2017-12-30 18:26:00,4,4,Shipping on time,0
26821,Standard Class,2016-01-29 12:14:00,2,4,Advance shipping,0
77102,Standard Class,2018-02-02 11:54:00,3,4,Advance shipping,0
41608,Standard Class,2016-09-03 08:47:00,4,4,Shipping on time,0
47009,Standard Class,2016-11-22 04:59:00,5,4,Late delivery,1
49916,Standard Class,2016-12-31 15:26:00,2,4,Advance shipping,0
29746,Standard Class,2016-03-12 04:59:00,2,4,Advance shipping,0
72533,Standard Class,2017-11-28 19:11:00,4,4,Shipping on time,0
48608,Standard Class,2016-12-14 13:11:00,4,4,Shipping on time,0
45506,Standard Class,2016-10-28 06:25:00,2,4,Advance shipping,0
45027,Standard Class,2016-10-22 06:36:00,3,4,Advance shipping,0
46308,Standard Class,2016-11-10 23:24:00,4,4,Shipping on time,0
43685,Standard Class,2016-10-05 16:27:00,6,4,Late delivery,1
41893,Standard Class,2016-09-07 12:38:00,4,4,Shipping on time,0
46339,Standard Class,2016-11-12 10:15:00,5,4,Late delivery,1
46667,Standard Class,2016-11-15 05:10:00,3,4,Advance shipping,0
47647,Standard Class,2016-11-29 12:30:00,3,4,Advance shipping,0
48565,Standard Class,2016-12-15 22:07:00,6,4,Late delivery,1
43889,Standard Class,2016-10-07 15:55:00,5,4,Late delivery,1
45138,Standard Class,2016-10-24 21:30:00,4,4,Shipping on time,0
44160,Standard Class,2016-10-12 14:51:00,6,4,Late delivery,1
49214,Standard Class,2016-12-24 09:30:00,5,4,Late delivery,1
41825,Standard Class,2016-09-08 12:48:00,6,4,Late delivery,1
44504,Standard Class,2016-10-16 15:22:00,5,4,Late delivery,1
44496,Standard Class,2016-10-13 12:34:00,2,4,Advance shipping,0
45559,Standard Class,2016-11-01 00:59:00,5,4,Late delivery,1
44074,Standard Class,2016-10-10 08:44:00,5,4,Late delivery,1
49857,Standard Class,2016-12-31 18:46:00,3,4,Advance shipping,0
41786,Standard Class,2016-09-03 23:08:00,2,4,Advance shipping,0
48042,Standard Class,2016-12-05 06:54:00,3,4,Advance shipping,0
44301,Standard Class,2016-10-10 16:15:00,2,4,Advance shipping,0
41591,Standard Class,2016-09-01 02:49:00,2,4,Advance shipping,0
44981,Standard Class,2016-10-20 14:29:00,2,4,Advance shipping,0
41545,Standard Class,2016-09-04 10:42:00,6,4,Late delivery,1
49910,Standard Class,2017-01-04 13:20:00,6,4,Late delivery,1
19590,Standard Class,2015-10-19 22:53:00,6,4,Late delivery,1
43650,Standard Class,2016-10-05 04:11:00,6,4,Late delivery,1
15202,Standard Class,2015-08-13 21:35:00,3,4,Advance shipping,0
15462,Standard Class,2015-08-17 16:40:00,3,4,Advance shipping,0
15155,Standard Class,2015-08-16 05:07:00,6,4,Late delivery,1
64451,Standard Class,2017-07-31 19:42:00,2,4,Advance shipping,0
67028,Standard Class,2017-09-09 10:32:00,4,4,Shipping on time,0
62336,Standard Class,2017-06-30 22:43:00,2,4,Advance shipping,0
11334,Standard Class,2015-06-20 10:27:00,5,4,Late delivery,1
62885,Standard Class,2017-07-12 23:03:00,6,4,Late delivery,1
66998,Standard Class,2017-09-09 00:02:00,4,4,Shipping on time,0
47002,Standard Class,2016-11-20 02:32:00,3,4,Advance shipping,0
63445,Standard Class,2017-07-21 03:15:00,6,4,Late delivery,1
67566,Standard Class,2017-09-15 07:01:00,2,4,Advance shipping,0
18884,Standard Class,2015-10-08 15:33:00,5,4,Late delivery,1
18845,Standard Class,2015-10-09 01:53:00,6,4,Late delivery,1
66854,Standard Class,2017-09-07 21:35:00,5,4,Late delivery,1
46955,Standard Class,2016-11-22 10:04:00,6,4,Late delivery,1
55002,Standard Class,2017-03-16 21:18:00,3,4,Advance shipping,0
60445,Standard Class,2017-06-07 08:13:00,6,4,Late delivery,1
53586,Standard Class,2017-02-23 05:12:00,2,4,Advance shipping,0
56618,Standard Class,2017-04-10 11:27:00,4,4,Shipping on time,0
51865,Standard Class,2017-02-02 02:16:00,6,4,Late delivery,1
2937,Standard Class,2015-02-15 20:36:00,3,4,Advance shipping,0
54446,Standard Class,2017-03-07 18:30:00,2,4,Advance shipping,0
58623,Standard Class,2017-05-09 17:53:00,4,4,Shipping on time,0
7411,Standard Class,2015-04-21 04:03:00,2,4,Advance shipping,0
5348,Standard Class,2015-03-24 01:17:00,4,4,Shipping on time,0
59742,Standard Class,2017-05-25 01:56:00,3,4,Advance shipping,0
59498,Standard Class,2017-05-22 12:26:00,4,4,Shipping on time,0
3459,Standard Class,2015-02-25 11:29:00,5,4,Late delivery,1
8470,Standard Class,2015-05-10 15:04:00,6,4,Late delivery,1
53455,Standard Class,2017-02-25 07:19:00,6,4,Late delivery,1
2014,Standard Class,2015-02-04 09:14:00,5,4,Late delivery,1
55899,Standard Class,2017-03-31 23:33:00,5,4,Late delivery,1
52582,Standard Class,2017-02-09 13:27:00,3,4,Advance shipping,0
56222,Standard Class,2017-04-03 16:43:00,3,4,Advance shipping,0
57829,Standard Class,2017-04-29 03:43:00,5,4,Late delivery,1
56217,Standard Class,2017-04-03 14:58:00,3,4,Advance shipping,0
5893,Standard Class,2015-04-01 00:13:00,4,4,Shipping on time,0
5528,Standard Class,2015-03-26 16:21:00,4,4,Shipping on time,0
367,Standard Class,2015-01-09 08:13:00,3,4,Advance shipping,0
52353,Standard Class,2017-02-07 05:14:00,4,4,Shipping on time,0
1784,Standard Class,2015-02-01 00:39:00,5,4,Late delivery,1
60317,Standard Class,2017-06-02 11:22:00,3,4,Advance shipping,0
6776,Standard Class,2015-04-11 21:35:00,2,4,Advance shipping,0
4487,Standard Class,2015-03-10 11:38:00,3,4,Advance shipping,0
9681,Standard Class,2015-05-24 07:20:00,2,4,Advance shipping,0
60868,Standard Class,2017-06-11 12:25:00,4,4,Shipping on time,0
53231,Standard Class,2017-02-18 00:50:00,2,4,Advance shipping,0
52601,Standard Class,2017-02-08 20:07:00,2,4,Advance shipping,0
4660,Standard Class,2015-03-16 00:15:00,6,4,Late delivery,1
3539,Standard Class,2015-02-26 15:31:00,5,4,Late delivery,1
54488,Standard Class,2017-03-10 09:13:00,4,4,Shipping on time,0
52549,Standard Class,2017-02-11 01:54:00,5,4,Late delivery,1
60361,Standard Class,2017-06-02 02:47:00,2,4,Advance shipping,0
5712,Standard Class,2015-03-28 08:49:00,3,4,Advance shipping,0
9309,Standard Class,2015-05-21 21:00:00,5,4,Late delivery,1
8095,Standard Class,2015-05-05 03:41:00,6,4,Late delivery,1
75892,Standard Class,2018-01-15 19:59:00,3,4,Advance shipping,0
75891,Standard Class,2018-01-14 19:38:00,2,4,Advance shipping,0
75890,Second Class,2018-01-18 19:17:00,6,2,Late delivery,1
75889,Standard Class,2018-01-17 18:56:00,5,4,Late delivery,1
75888,Standard Class,2018-01-16 18:35:00,4,4,Shipping on time,0
75887,Standard Class,2018-01-15 18:14:00,3,4,Advance shipping,0
75886,Standard Class,2018-01-14 17:53:00,2,4,Shipping canceled,0
75885,Second Class,2018-01-18 17:32:00,6,2,Late delivery,1
75884,Standard Class,2018-01-17 17:11:00,5,4,Late delivery,1
75883,First Class,2018-01-14 16:50:00,2,1,Late delivery,1
75882,Standard Class,2018-01-15 16:29:00,3,4,Advance shipping,0
75881,Standard Class,2018-01-14 16:08:00,2,4,Advance shipping,0
75880,Standard Class,2018-01-18 15:47:00,6,4,Late delivery,1
75879,Standard Class,2018-01-17 15:26:00,5,4,Late delivery,1
75878,Standard Class,2018-01-16 15:05:00,4,4,Shipping on time,0
75877,Standard Class,2018-01-15 14:44:00,3,4,Advance shipping,0
75876,Standard Class,2018-01-14 14:23:00,2,4,Advance shipping,0
75875,Second Class,2018-01-18 14:02:00,6,2,Late delivery,1
75874,Standard Class,2018-01-17 13:41:00,5,4,Late delivery,1
75873,Standard Class,2018-01-16 13:20:00,4,4,Shipping on time,0
75872,Standard Class,2018-01-15 12:59:00,3,4,Advance shipping,0
75871,First Class,2018-01-14 12:38:00,2,1,Late delivery,1
75870,First Class,2018-01-14 12:17:00,2,1,Late delivery,1
75869,First Class,2018-01-14 11:56:00,2,1,Late delivery,1
75868,First Class,2018-01-14 11:35:00,2,1,Late delivery,1
75867,Same Day,2018-01-12 23:14:00,0,0,Shipping on time,0
75866,Same Day,2018-01-12 22:53:00,0,0,Shipping on time,0
75865,Same Day,2018-01-12 22:32:00,0,0,Shipping on time,0
75864,Standard Class,2018-01-17 10:11:00,5,4,Late delivery,1
75863,Standard Class,2018-01-16 09:50:00,4,4,Shipping on time,0
75862,Standard Class,2018-01-15 09:29:00,3,4,Advance shipping,0
75861,Standard Class,2018-01-14 09:08:00,2,4,Advance shipping,0
75860,Standard Class,2018-01-18 08:47:00,6,4,Late delivery,1
75859,Standard Class,2018-01-17 08:26:00,5,4,Shipping canceled,0
75858,Second Class,2018-01-16 08:05:00,4,2,Late delivery,1
75857,Standard Class,2018-01-15 07:44:00,3,4,Advance shipping,0
75856,Second Class,2018-01-14 07:23:00,2,2,Shipping on time,0
75855,First Class,2018-01-14 07:02:00,2,1,Late delivery,1
75854,Second Class,2018-01-17 06:41:00,5,2,Late delivery,1
75853,Second Class,2018-01-16 06:20:00,4,2,Late delivery,1
75852,Standard Class,2018-01-15 05:59:00,3,4,Advance shipping,0
75851,Standard Class,2018-01-14 05:38:00,2,4,Advance shipping,0
75850,Standard Class,2018-01-18 05:16:00,6,4,Late delivery,1
75849,Standard Class,2018-01-17 04:55:00,5,4,Late delivery,1
75848,Second Class,2018-01-16 04:34:00,4,2,Late delivery,1
75847,Second Class,2018-01-15 04:13:00,3,2,Shipping canceled,0
75846,Standard Class,2018-01-14 03:52:00,2,4,Advance shipping,0
75845,Standard Class,2018-01-18 03:31:00,6,4,Late delivery,1
75844,Standard Class,2018-01-17 03:10:00,5,4,Late delivery,1
75843,Second Class,2018-01-16 02:49:00,4,2,Late delivery,1
75842,Standard Class,2018-01-15 02:28:00,3,4,Advance shipping,0
75841,Standard Class,2018-01-14 02:07:00,2,4,Advance shipping,0
75840,Second Class,2018-01-18 01:46:00,6,2,Late delivery,1
75839,Second Class,2018-01-17 01:25:00,5,2,Late delivery,1
75838,First Class,2018-01-14 01:04:00,2,1,Late delivery,1
75837,First Class,2018-01-14 00:43:00,2,1,Late delivery,1
75836,Second Class,2018-01-14 00:22:00,2,2,Shipping on time,0
75835,Second Class,2018-01-18 00:01:00,6,2,Late delivery,1
75834,Second Class,2018-01-16 23:40:00,5,2,Late delivery,1
75833,First Class,2018-01-13 23:19:00,2,1,Late delivery,1
75832,First Class,2018-01-13 22:58:00,2,1,Late delivery,1
75831,First Class,2018-01-13 22:37:00,2,1,Late delivery,1
75830,Standard Class,2018-01-17 22:16:00,6,4,Late delivery,1
75829,Standard Class,2018-01-16 21:55:00,5,4,Late delivery,1
